arg_id	arg_text	arg_guideline	post_id	post_topic
998	"I would say the main way my morality differs from a Christian morality	 aside from our specific views which tend to be opposed	 is that I believe that although certain actions in certain contexts are very clearly good or bad	 I don't believe that an action itself outside any context is good or bad	 neither do I believe that people themselves are good or bad. "	arguments against christian morality and good vs bad	50249	abortion1
999	"If you were to ask me if I felt Matthew Shepard's torture and murder was wrong	 I would say ""yes"" absolutely. "	Matthew Shepard's torture case and what it entailed 	50249	abortion1
1000	Fetus is a Latin word meaning unborn child. 	what fetus means in Latin	52732	abortion1
1001	"The logical fallacy is argumentum ad ignoratiam- the beleif that because something has not been proven true	 it's false. "	the meaning of ad ignoratiam	53106	abortion1
1002	"In the scheme of things	 abortion has already become relatively extinct. "	if abortion rates have become close to extinct	142307	abortion1
1003	"I'm for it	 but not in the US so less of an issue for me doing a biotech degree  There is a difference between these and adult stem cells	 most cells have limits on how often they can reproduce and the adult undiffereniated cells can usually only replicate a few times	 nowhere near enough to grow an organ	 whether imoratlising them helps I do not know	 but this has more added complications. "	You can look on wikipedia to see if how many times stem cells can be replicated	396	abortion1
1004	What do you think killing the baby would do to the mother mentally? 	the psychological implications of abortion	118881	abortion1
1005	The Bush money was made in the Middle West). 	Wikipedia or a news article will tell you how George Bush made money. 	68418	abortion1
1006	"Thankfully	 some US states and other places have ""safe haven"" laws	 so that people can avoid prosecution if they give their children to hospitals	 etc. "	You can research wikipedia or Google to look up safe haven laws.	86487	abortion1
1007	"I understand that she is the one going through the pregnancy	 but that lasts all of 9 months. "	how many months is human pregnancy	188062	abortion1
1008	The world's average is still 4 or 5 children (and more pregnancies than that). 	You can look on wikipedia to see how many kids is the world average.	99975	abortion1
1009	"The purpose of having sex in humans is essentially for pleasure	 for the connubial bliss of marriage--when so chosen	 it serves in the act of reproduction. "	the reasons of having sex	187920	abortion1
1010	Pregancy is very uncomfortable. It can be life-threatening. 	You can look on wikipedia or news articles to see if people die from pregnancy.	68397	abortion1
1011	"Human doesn't 'begin' at conception	 how is there a difference between a sperm and an egg together and them seperate	 either way they are part of a human and there is no difference between them at the moment of conception and after they have been created the first time	 and if sperm and egg don't count as human why are they different from any other cell in your body and how come they change back after fertilisation. "	process of human reproduction and fertilization of egg and sperm 	78959	abortion1
1012	Look up the definition of selfishness then come write back to me how abortion is selfish. 	the definition of selfishness 	100661	abortion1
1013	"Only humans have human DNA. The fetus has human DNA. Therefore	 the fetus is human. "	DNA of a human and fetus 	49947	abortion1
1014	"Why are primates with ~80 IQ	 capable of the language skills of a 2-3 year old	 capable of a wide range of emotions	 not afforded the rights as a human? "	look on wikipedia to see if primates can talk	156824	abortion1
1015	Would you like me to pull up a list of pregnancy related problems for you? 	some pregnancy related problems	180843	abortion1
1016	"And yes	 many types of ticks and some mosquito larvae and tape worms rely on the motherâ€™s circulatory system to survive. "	look on wikipedia to see how tape worms survive	53037	abortion1
1017	The fetus does NOT have the same DNA as the mother. 	look on wikipedia to see if the baby has the same DNA	53037	abortion1
1018	Having human DNA does not necessarily make one a human being. 	relation of human DNA with human emotions 	57643	abortion1
1019	Do you know how much the average person makes per year in the average African nation? About $500-$1000! 	you can look on wikipedia or news articles to find out how much people in Africa make	53037	abortion1
1020	Putting children in adoption homes is useless. 	the importance of adoption homes	50318	abortion1
1021	Sweat shops give them several times more pay AND benefits! 	you can look on wikipedia to see how much sweat shops pay.	53037	abortion1
1022	"The USA has twice as many unwanted pregancies as Canada and I think 36 times as many as Japan. BTW	 an interesting fact is that the USA (280 million} is now the 3rd most populous nation in the world right after China (1.3 billion)	 and India (1 billion). The former USSR had been 3rd	 I think	 with a little over 300 million. "	world population data 	52669	abortion1
1023	"In fact	 the Pope has recently ordered the removal of all monuments to aborted fetuses from all Catholic cemetaries. "	you can check news articles to see if the pope has removed monuments. 	52594	abortion1
1024	Even the Catholic Church has stated that a fetus is not a person until it draws its first breathe. 	you can look on wikipedia or news articles to see if the Catholic church has talked about fetuses.	52594	abortion1
1025	"On the contrary	 you will be hard-pressed to find a biologist who will disagree with the statement that the biological processes that commence the development of a new member of a mammal species begin at the point of conception. "	reproduction cycle among mammals 	58554	abortion1
1026	A child is usually defined as any sort of offspring. 	the characteristics of a child	50167	abortion1
1027	"By the way	 Jito	 (and others who argue that pro-lifers hate women)	  It is estimated that 750	000 females are aborted each year. "	you can look on wikipedia to see the number of females aborted	165440	abortion1
1028	If you consent to sex you know you might get pregnant...even if you use protection. 	statistics of pregnancy from protected sex	188061	abortion1
1029	"there is no law saying abortion is an option...atleast in most states  Ahhhh so the unborn is a property now. "	US states where abortion is legal	187915	abortion1
1030	If we can prove a person was at a crime scene through DNA evidence. Then we can prove a person is in his or her Mother's womb at the time of conception. 	you can look on news articles to see if forensic evidence can be found for if someone was in their mother's womb. 	64030	abortion1
1031	"There is no ""child 2 inches in the womb."" "	you can look up on wikipedia to tell how far a child is in the womb.	50350	abortion1
1032	"The Due Process Clause of the Fourteenth Amendment states ""nor shall any State deprive any person of life	 liberty	 or property	 without due process of law . "	you can look on wikipedia to find what the fourteenth amendment says.	100771	abortion1
1033	"So that outweighs the fact that the mother was raped	 and if her life was threatened	 then abortion would be nessecary. "	exceptional situations that abortion is allows	66927	abortion1
1034	"The 1998 Merriam-Webster Dictionary includes ""human."" "	you can search Google for the dictionary to see if it includes human. 	20779	abortion1
1035	"Our Constitution says we have the ""Right to Life""	 does it not? "	"if US constitution support ""Right to Life"""	149073	abortion1
1036	You are going to have an anyuerism getting so hot and bothered about religion. 	you can look on wikipedia to see if stress causes an anyuerusm.	165415	abortion1
1037	"If a pregnancy will kill a woman	 she must remain celibate forever etc etc  Killing children is illegal. "	Reasons for opposing abortion	165430	abortion1
1038	Stress is not good for you. 	you can look on wikipedia or news articles to see if stress has negative effects.	165415	abortion1
1039	"You may hate the fact of it	 but like it or not most people are religious to varying degrees	 and support religion. "	you can look on wikipedia to see if most people are religious.	165415	abortion1
1040	Abortion is justified because women should not be required to share their bodies resources against their will. 	justification of abortion	148982	abortion1
1041	"(Other articles on the site) ""The evaluation of pain in the human fetus and neonate is difficult because pain is generally defined as a subjective phenomenon."" "	https://www.nejm.org/doi/full/10.1056/NEJM198711193172105	60313	abortion1
1042	It is unconscionable that organizations like Planned Parenthood would seek to undermine the rights of parents to know what is occurring in their child's life. 	Rights of parents and planed parenthood	363	abortion1
1043	#NAME?	https://www.health.harvard.edu/medical-tests-and-procedures/abortion-termination-of-pregnancy-a-to-z	177141	abortion1
1044	A fetus before 6 months at least CAN'T be aware because awareness takes place in the Cerebral cortex which isn't fully formed and *hooked up* so to speak before 22-24 weeks.So basically you don't agree that brain death should define the end of human life? 	out if the cerebral cortex isn't fully formed in a fetus before 22-24 weeks	188466	abortion1
1045	So childbirth does have at least one positive influence on cancer prevention. 	Advantages of childbirth over abortion	186863	abortion1
1046	"I don't think someone who has an abortion is going to ruin the almighty	 all knowing	 all powerful diety who obviously knows the future and thus the outcome of anything is his plan. "	http://www.veritas.org/oxford-atheism-to-jesus/	50035	abortion1
1047	Since it is a legal right can you post a law or something that shows this...even a court case would be ok. 	https://www.nolo.com/legal-encyclopedia/when-should-you-sue-29900.html	50461	abortion1
1048	One should not have to limit their sexual partners to only those they would raise a child with. 	planned parenthood.	156580	abortion1
1049	"Crim:  Giving food and medical care to the poor	 hungry	 and the needy. Changing people's lives. Mother Theresa wasn't very impressive was she? "	https://www.nytimes.com/1981/06/27/nyregion/mother-theresa-opens-newark-mission.html	374	abortion1
1050	Not the general public I suppose.Just because the bible say's one fruit and one womb is blessed doesn't automatically mean they all are! 	https://www.biblestudytools.com/msg/matthew/passage/?q=matthew+4:12-25;matthew+5:1-48;matthew+6:1-34;matthew+7:1-29;matthew+8:1-34;matthew+9:1-38;matthew+10:1-42;matthew+11:1-30;matthew+12:1-50;matthew+13:1-58;matthew+14:1-12	62771	abortion1
1051	"A 6 day old baby is no more capable of caring for itself	 communicating or surviving than a 6 week old fetus is	 yet you would argue for the six day olds right. "	Rights of the unborn baby	149214	abortion1
1052	"It makes me sick that people don't take into consideration	 the woman who makes this decision. "	rights of mothers who seek abortion	557	abortion1
1053	No i wouldnt accept it but atleast we wouldnt be fooling anyone...it would be more straightfoward and less misleading. 	https://www.goodreads.com/quotes/tag/real-love	188037	abortion1
1054	Human life I believe is defined by the ability to think as well as survive. I think a person who is brain dead is no longer truely a human although he is still life. 	https://www.livescience.com/42301-brain-death-body-alive.html	14907	abortion1
1055	But you don't agree with taking any action to prevent pregnancy except abstinance. 	Ways to avoid unplanned pregnancy and abortion	108947	abortion1
1056	"Are you saying that the only kids adopted are white? If that's the case	 you need to go outside and talk to more people	 because I now a great deal of ""colored"" people who were adopted. "	http://www.lovedawn.com/what-its-been-like-raise-black-child-white-world/	50267	abortion1
1057	"You speak for the woman's right to choose	 while you reduce the male down to just a donor. "	Rights of a father in relation to abortion.	52803	abortion1
1058	I believe my original argument with her is that one could not prove that an uborn baby was not sentient based on the definition of sentient. 	https://www.nytimes.com/2000/03/12/nyregion/l-peter-singer-clarifies-his-attitudes-on-sentience-210803.html	188478	abortion1
1059	I wouldn't say they are a prime example of a human but their mind is working. You make a good point though. If they don't have higher brain functions then this also sets them apart from humans. 	https://kidshealth.org/en/teens/brain-nervous-system.html	20800	abortion1
1060	"Rather than bring into this peripheral thoughts to the question	 such as rights and legal issues (which are discussed at length here already in other threads)	 I'd love to hear straightforward relelvant answers to this. "	https://www.makealivingwriting.com/answers-100-freelance-writing-questions/	186759	abortion1
1061	To imply that abortion is an issue of men versus women shows a narrow view of an issue that is much more complicated than that. 	http://web.csulb.edu/~cwallis/382/readings/160/marquis.html	165333	abortion1
1062	Waiting until they are born likely gives them no more chance of surviving than killing them in the womb. 	survival rate for full term pregnancy abortion	160253	abortion1
1063	Even the Catholic Church has stated that a fetus is not a person until it draws its first breathe. 	https://www.politifact.com/new-york/statements/2017/jan/30/deborah-glick/new-yorks-definition-when-fetus-becomes-person/	52594	abortion1
1064	"What I meant was	 if the mother was to go through with the pregnancy	 knowing that it would kill her and the baby	 then	 and pretty much only then	 could the mother use abortion. "	http://www.bbc.co.uk/ethics/abortion/philosophical/selfdefence.shtml	118903	abortion1
1065	You quoted me orgnially and it kind of answered your question but I will restate it....Abortion used to be banned by many states and you didn't see investigations all over the place for women getting beaten with bats. 	history of abortion in the United States	187903	abortion1
1066	"We currently have the right to abortions	 because we have the power to protect that right. "	Find supreme court ruling that gives women the right to an abortion.	108963	abortion1
1067	They can sign away their parental rights and be free of the obligation. 	How parents can sign away parental rights	100790	abortion1
1068	"socialist countries do not suppress human rights	 they try to protect them. "	Human rights in socialist countries.	503	abortion1
1069	"In light of the extremely small number of abortions done that late	 I don't think it is a question that need concern us	 especially in light of the fact that	 at that point the overwhelming number of that extremely small number (no	 I'm not trying to mislead) are done for purely medical reasons. "	Number of late term abortions in the USA	149235	abortion1
1070	Someone posted earlier that you don't see an investigation everytime a kid comes in with a black eye...Normally an investigation takes place when there is reason to believe somethign was done wrong. 	child abuse signs and reporting to proper authorities	187903	abortion1
1071	"If you take the fetus out of the mother	 it dies. "	Medlineplus.gov states that a pregnancy is terminated by removing the fetus and placenta from the mother	49432	abortion1
1072	"A fetus is created in the body and expelled through a tube between the legs 	 so is a turd! "	How is a fetus aborted	149213	abortion1
1073	So does fiction mean something is not true? 	Merriam-Webster dictionary defines fiction as something invented by the imagination 	49432	abortion1
1074	"Then what does it matter if 80% of abortions where done in the first trimester  It has no concept of choice huh? "	if 80% of abortions occur in the first trimester	177185	abortion1
1075	People are already becoming a commodity; stem-cells mean that the unborn lives are taken to 'help' other people. 	if there is a marketplace for stem cells from aborted fetuses	61651	abortion1
1076	"No	not all humans are persons.Person implies personal identity and personality 	 you need a functional brain for that.Have you ever heard of babies being born without fully formed brains? "	if the definition of being a person means having a functional brain	188436	abortion1
1077	"When a women makes that decision	 almost 10 out of 10 are effected by it	 and I can safely say it does atleast effect 8 out of 10 of them. "	emotional effects from abortion on the mother	20707	abortion1
1078	"Even the Pope has said that the image we're suppose to be made in is spiritual	 not physical. "	"if the Pope said that the image we're supposed to be made in is spiritual	 not physical"	55750	abortion1
1079	Most clinics have a rule of not performing abortions past the 10th or 12th week unless the health of the mother is at risk. 	if abortion clinics have a rule to not perform an abortion after the 10th-12th week	158828	abortion1
1080	"Addicts will place their addiction far above any other concerns	 including pregnancy. "	drug addiction during pregnancy	68394	abortion1
1081	"Look at the factual errors you make there  saying  Australia is not a Constitutional Monarchy. "	Australia constitutional monarchy	52896	abortion1
1082	The American Life League gave George W Bush the boot in 2001 over the stem cell issue. 	George W. Bush stem cell issue in 2001	100718	abortion1
1083	Killing means making it dead. 	"Merriam-Webster states the definition on killing is to deprive of life	 or cause the death "	156532	abortion1
1084	"When the sperm meets the egg	 there is no brain activity. "	"Medlineplus.gov states when sperm meets egg. The spinal cord	 Brain and other organs begin to develop but no instant activity "	156532	abortion1
1085	Through pregnancy the fetus USES the mothers internal organs to live. 	how does a fetus survive inside the womb?	82859	abortion1
1086	This puts extra strain on her internal systems. 	how does a fetus negatively impact a mother	82859	abortion1
1087	"I also have a problem with the assumption that all fetii are female	 when the definition of male and female is in the XX or XY chromosome combination and not in the physical charateristics. "	what is difference between the male and female chromosome	82859	abortion1
1088	Like in places like India and China where they abort the fetus just because it is a girl. 	abortion rate of female fetuses in India and China	50095	abortion1
1089	Boy babies are considered to be more valuable. 	value of male vs female babies in India and China	50095	abortion1
1090	It is not the law that all delivery rooms be in hospitals. 	WebMD says some hospitals turn away women in labor because they no longer have dedicated obstetrical units or enough staff who are properly trained to handle pregnancy and labor complications.	50195	abortion1
1091	By the early to mid 1990s there were female pro-lifers screaming that the previous firebrand rhetoric of the movement was scarring women. 	rhetoric of pro-life movement in America	100718	abortion1
1092	The pro-choice movement is limited to reproductive rightsâ€¦access to contraception and abortion rights. 	reproductive rights	100718	abortion1
1093	"Stem cell research using embryonic cells is	 so far	 the easiest way for scientists to research the specialization code. "	embryonic stems cells research	401	abortion1
1094	The Telegraph is as reliable a source as Fox News and the National Enquirer. 	Legitimacy of Fox News and The Telegraph	50275	abortion1
1095	"I thought that lying of anykind was a sin. And sin is to be avoided. Oh	 I'm hurt. "	"actionpack (5.1.6.1) lib/action_controller/metal/implicit_render.rb:40:in `default_render'  actionpack (5.1.6.1) lib/action_controller/metal/basic_implicit_render.rb:4:in `block in send_action'  actionpack (5.1.6.1) lib/action_controller/metal/basic_implicit_render.rb:4:in `tap'  actionpack (5.1.6.1) lib/action_controller/metal/basic_implicit_render.rb:4:in `send_action'  actionpack (5.1.6.1) lib/abstract_controller/base.rb:186:in `process_action'  actionpack (5.1.6.1) lib/action_controller/metal/rendering.rb:30:in `process_action'  actionpack (5.1.6.1) lib/abstract_controller/callbacks.rb:20:in `block in process_action'  activesupport (5.1.6.1) lib/active_support/callbacks.rb:131:in `run_callbacks'  actionpack (5.1.6.1) lib/abstract_controller/callbacks.rb:19:in `process_action'"	52935	abortion1
1096	"There's a psychological term for the ""helping "" that PP provides to these kids. It's called ""enabling"". By not following the law	 PP is enabling child molesters to go unpunished in many instances. "	"actionpack (5.1.6.1) lib/action_controller/metal/implicit_render.rb:40:in `default_render'  actionpack (5.1.6.1) lib/action_controller/metal/basic_implicit_render.rb:4:in `block in send_action'  actionpack (5.1.6.1) lib/action_controller/metal/basic_implicit_render.rb:4:in `tap'  actionpack (5.1.6.1) lib/action_controller/metal/basic_implicit_render.rb:4:in `send_action'  actionpack (5.1.6.1) lib/abstract_controller/base.rb:186:in `process_action'  actionpack (5.1.6.1) lib/action_controller/metal/rendering.rb:30:in `process_action'  actionpack (5.1.6.1) lib/abstract_controller/callbacks.rb:20:in `block in process_action'  activesupport (5.1.6.1) lib/active_support/callbacks.rb:131:in `run_callbacks'  actionpack (5.1.6.1) lib/abstract_controller/callbacks.rb:19:in `process_action'  actionpack (5.1.6.1) lib/action_controller/metal/rescue.rb:20:in `process_action'  actionpack (5.1.6.1) lib/action_controller/metal/instrumentation.rb:32:in `block in process_action'  activesupport (5.1.6.1) lib/active_support/notifications.rb:166:in `block in instrument'  activesupport (5.1.6.1) lib/active_support/notifications/instrumenter.rb:21:in `instrument'  activesupport (5.1.6.1) lib/active_support/notifications.rb:166:in `instrument'  actionpack (5.1.6.1) lib/action_controller/metal/instrumentation.rb:30:in `process_action'  actionpack (5.1.6.1) lib/action_controller/metal/params_wrapper.rb:252:in `process_action'  activerecord (5.1.6.1) lib/active_record/railties/controller_runtime.rb:22:in `process_action'  actionpack (5.1.6.1) lib/abstract_controller/base.rb:124:in `process'  actionview (5.1.6.1) lib/action_view/rendering.rb:30:in `process'  actionpack (5.1.6.1) lib/action_controller/metal.rb:189:in `dispatch'  actionpack (5.1.6.1) lib/action_controller/metal.rb:253:in `dispatch'  actionpack (5.1.6.1) lib/action_dispatch/routing/route_set.rb:49:in `dispatch'  actionpack (5.1.6.1) lib/action_dispatch/routing/route_set.rb:31:in `serve'  actionpack (5.1.6.1) lib/action_dispatch/journey/router.rb:50:in `block in serve'  actionpack (5.1.6.1) lib/action_dispatch/journey/router.rb:33:in `each'  actionpack (5.1.6.1) lib/action_dispatch/journey/router.rb:33:in `serve'  actionpack (5.1.6.1) lib/action_dispatch/routing/route_set.rb:844:in `call'  rack (2.0.6) lib/rack/etag.rb:25:in `call'  rack (2.0.6) lib/rack/conditional_get.rb:25:in `call'  rack (2.0.6) lib/rack/head.rb:12:in `call'  rack (2.0.6) lib/rack/session/abstract/id.rb:232:in `context'  rack (2.0.6) lib/rack/session/abstract/id.rb:226:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/cookies.rb:613:in `call'  activerecord (5.1.6.1) lib/active_record/migration.rb:556:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/callbacks.rb:26:in `block in call'  activesupport (5.1.6.1) lib/active_support/callbacks.rb:97:in `run_callbacks'  actionpack (5.1.6.1) lib/action_dispatch/middleware/callbacks.rb:24:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/executor.rb:12:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/debug_exceptions.rb:59:in `call'  web-console (3.7.0) lib/web_console/middleware.rb:135:in `call_app'  web-console (3.7.0) lib/web_console/middleware.rb:22:in `block in call'  web-console (3.7.0) lib/web_console/middleware.rb:20:in `catch'  web-console (3.7.0) lib/web_console/middleware.rb:20:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'  railties (5.1.6.1) lib/rails/rack/logger.rb:36:in `call_app'  railties (5.1.6.1) lib/rails/rack/logger.rb:24:in `block in call'  activesupport (5.1.6.1) lib/active_support/tagged_logging.rb:69:in `block in tagged'  activesupport (5.1.6.1) lib/active_support/tagged_logging.rb:26:in `tagged'  activesupport (5.1.6.1) lib/active_support/tagged_logging.rb:69:in `tagged'  railties (5.1.6.1) lib/rails/rack/logger.rb:24:in `call'  sprockets-rails (3.2.1) lib/sprockets/rails/quiet_assets.rb:13:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/remote_ip.rb:79:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/request_id.rb:25:in `call'  rack (2.0.6) lib/rack/method_override.rb:22:in `call'  rack (2.0.6) lib/rack/runtime.rb:22:in `call'  activesupport (5.1.6.1) lib/active_support/cache/strategy/local_cache_middleware.rb:27:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/executor.rb:12:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/static.rb:125:in `call'  rack (2.0.6) lib/rack/sendfile.rb:111:in `call'  railties (5.1.6.1) lib/rails/engine.rb:522:in `call'  puma (3.12.0) lib/puma/configuration.rb:225:in `call'  puma (3.12.0) lib/puma/server.rb:658:in `handle_request'  puma (3.12.0) lib/puma/server.rb:472:in `process_client'  puma (3.12.0) lib/puma/server.rb:332:in `block in run'  puma (3.12.0) lib/puma/thread_pool.rb:133:in `block in spawn_thread'  Request"	186905	abortion1
1097	"Just like when Galileo insisted that the earth revolved around the sun	 while others articulated the opposite view	 neither of them were right either? "	the history of Galileo 	149161	abortion1
1098	"LOL  You should never be on planned parenthood's property- you are not a patient. You are in violation of the law	 and you are not ""counseling"" anyone. "	"Laws state that anyone who is not a customer	 patient	 client	 person using what said business offers. That person is loitering and can be asked to leave the property "	50195	abortion1
1099	"Every human life has value regardless of the ""burden"" it might place on others. No doubt a newborn infant places a significant burden on its parents. "	"  ""\nrequest.variant: #{request.variant.inspect}""            raise ActionController::UnknownFormat	 message        elsif interactive_browser_request?          message = ""#{self.class.name}\##{action_name} is missing a template "" \            ""for this request format and variant.\n\n"" \  "	50459	abortion1
1100	I don't know a single person who is pro-choice who 'encourages' or 'applauds' abortion. Want to know how somebody who is pro-choice feels and why? 	"actionpack (5.1.6.1) lib/action_controller/metal/implicit_render.rb:40:in `default_render'  actionpack (5.1.6.1) lib/action_controller/metal/basic_implicit_render.rb:4:in `block in send_action'  actionpack (5.1.6.1) lib/action_controller/metal/basic_implicit_render.rb:4:in `tap'  actionpack (5.1.6.1) lib/action_controller/metal/basic_implicit_render.rb:4:in `send_action'  actionpack (5.1.6.1) lib/abstract_controller/base.rb:186:in `process_action'  actionpack (5.1.6.1) lib/action_controller/metal/rendering.rb:30:in `process_action'  actionpack (5.1.6.1) lib/abstract_controller/callbacks.rb:20:in `block in process_action'  activesupport (5.1.6.1) lib/active_support/callbacks.rb:131:in `run_callbacks'  actionpack (5.1.6.1) lib/abstract_controller/callbacks.rb:19:in `process_action'  actionpack (5.1.6.1) lib/action_controller/metal/rescue.rb:20:in `process_action'  actionpack (5.1.6.1) lib/action_controller/metal/instrumentation.rb:32:in `block in process_action'  activesupport (5.1.6.1) lib/active_support/notifications.rb:166:in `block in instrument'  activesupport (5.1.6.1) lib/active_support/notifications/instrumenter.rb:21:in `instrument'  activesupport (5.1.6.1) lib/active_support/notifications.rb:166:in `instrument'  actionpack (5.1.6.1) lib/action_controller/metal/instrumentation.rb:30:in `process_action'  actionpack (5.1.6.1) lib/action_controller/metal/params_wrapper.rb:252:in `process_action'  activerecord (5.1.6.1) lib/active_record/railties/controller_runtime.rb:22:in `process_action'  actionpack (5.1.6.1) lib/abstract_controller/base.rb:124:in `process'  actionview (5.1.6.1) lib/action_view/rendering.rb:30:in `process'  actionpack (5.1.6.1) lib/action_controller/metal.rb:189:in `dispatch'  actionpack (5.1.6.1) lib/action_controller/metal.rb:253:in `dispatch'  actionpack (5.1.6.1) lib/action_dispatch/routing/route_set.rb:49:in `dispatch'  actionpack (5.1.6.1) lib/action_dispatch/routing/route_set.rb:31:in `serve'  actionpack (5.1.6.1) lib/action_dispatch/journey/router.rb:50:in `block in serve'  actionpack (5.1.6.1) lib/action_dispatch/journey/router.rb:33:in `each'  actionpack (5.1.6.1) lib/action_dispatch/journey/router.rb:33:in `serve'  actionpack (5.1.6.1) lib/action_dispatch/routing/route_set.rb:844:in `call'  rack (2.0.6) lib/rack/etag.rb:25:in `call'  rack (2.0.6) lib/rack/conditional_get.rb:25:in `call'  rack (2.0.6) lib/rack/head.rb:12:in `call'  rack (2.0.6) lib/rack/session/abstract/id.rb:232:in `context'  rack (2.0.6) lib/rack/session/abstract/id.rb:226:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/cookies.rb:613:in `call'  activerecord (5.1.6.1) lib/active_record/migration.rb:556:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/callbacks.rb:26:in `block in call'  activesupport (5.1.6.1) lib/active_support/callbacks.rb:97:in `run_callbacks'  actionpack (5.1.6.1) lib/action_dispatch/middleware/callbacks.rb:24:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/executor.rb:12:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/debug_exceptions.rb:59:in `call'  web-console (3.7.0) lib/web_console/middleware.rb:135:in `call_app'  web-console (3.7.0) lib/web_console/middleware.rb:22:in `block in call'  web-console (3.7.0) lib/web_console/middleware.rb:20:in `catch'  web-console (3.7.0) lib/web_console/middleware.rb:20:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/show_exceptions.rb:31:in `call'  railties (5.1.6.1) lib/rails/rack/logger.rb:36:in `call_app'  railties (5.1.6.1) lib/rails/rack/logger.rb:24:in `block in call'  activesupport (5.1.6.1) lib/active_support/tagged_logging.rb:69:in `block in tagged'  activesupport (5.1.6.1) lib/active_support/tagged_logging.rb:26:in `tagged'  activesupport (5.1.6.1) lib/active_support/tagged_logging.rb:69:in `tagged'  railties (5.1.6.1) lib/rails/rack/logger.rb:24:in `call'  sprockets-rails (3.2.1) lib/sprockets/rails/quiet_assets.rb:13:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/remote_ip.rb:79:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/request_id.rb:25:in `call'  rack (2.0.6) lib/rack/method_override.rb:22:in `call'  rack (2.0.6) lib/rack/runtime.rb:22:in `call'  activesupport (5.1.6.1) lib/active_support/cache/strategy/local_cache_middleware.rb:27:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/executor.rb:12:in `call'  actionpack (5.1.6.1) lib/action_dispatch/middleware/static.rb:125:in `call'  rack (2.0.6) lib/rack/sendfile.rb:111:in `call'  railties (5.1.6.1) lib/rails/engine.rb:522:in `call'  puma (3.12.0) lib/puma/configuration.rb:225:in `call'  puma (3.12.0) lib/puma/server.rb:658:in `handle_request'  puma (3.12.0) lib/puma/server.rb:472:in `process_client'  puma (3.12.0) lib/puma/server.rb:332:in `block in run'  puma (3.12.0) lib/puma/thread_pool.rb:133:in `block in spawn_thread'"	60291	abortion1
